asin;availability;brand;category;created_on;description;description_de;detail_page_url;detail_page_url_de;featured;large_image;large_image_alt;large_image_alt_de;manufacturer;medium_image;medium_image_alt;medium_image_alt_de;meta_description;meta_description_de;popularity;price;publisher;slug;slug_de;title;title_de;updated_on;uuid
B01AUWI4PU;; Allibert ;;2021/06/21 11:54:56;About this item         Sun lounger in natural and open rattan look, comes with comfortable cushions graphite     Dimensions (W x D x H) approx. 195 x 65 x 22 cm     Cool box Ice Cube     Tested quality     Made from UV-resistant, all-weather, high-quality polypropylene;;https://www.amazon.de/gp/product/B01AUWI4PU?ie=UTF8&linkCode=sl1&tag=meister002-21&linkId=5a63e0e1dea1fdb947cd916d8f984b3b&language=en_GB&ref_=as_li_ss_tl;;;https://images-eu.ssl-images-amazon.com/images/I/41ZHEkIX03L.__AC_SY300_SX300_QL70_ML2_.jpg;"Allibert Daytona Rattan Wicker Look Cool Box Ice Cube&nbsp;&ndash;&nbsp;Set of 2&nbsp;Graphite Sun Lounger with Cushion";; Allibert ;https://images-eu.ssl-images-amazon.com/images/I/41ZHEkIX03L.__AC_SY300_SX300_QL70_ML2_.jpg;"Allibert Daytona Rattan Wicker Look Cool Box Ice Cube&nbsp;&ndash;&nbsp;Set of 2&nbsp;Graphite Sun Lounger with Cushion";;Allibert Daytona Rattan Wicker Look Cool Box Ice Cube – Set of 2 Graphite Sun Lounger with Cushion: Meisteraffiliateshop Garten;;34;; Allibert ;allibert-daytona-rattan-wicker-look-cool-box-ice-cube–set-of-2graphite-sun-lounger-with-cushion;;Allibert Daytona Rattan Wicker Look Cool Box Ice Cube – Set of 2 Graphite Sun Lounger with Cushion;;2021/06/21 11:54:56;f7a74a2e-8d73-4018-8a15-c9cf3b0b010f
B07K4XHT38;; Char-Broil ;;2021/06/21 11:54:57;About this item         Patented charcoal tray ensures even heat and prevents flaking     Stainless steel burners - strong, durable burners built to last forever.     Surefire electronic ignition - lighting all burners at the touch of a button - without open flame     Lid thermometer - control the cooking temperature made easy     Side burner - perfect for warming side dishes.     Warming rack – Keeps food warm, ideal for burger rolls and baguettes     2-year warranty - all components;;https://www.amazon.de/gp/product/B07K4XHT38?ie=UTF8&linkCode=sl1&tag=meister002-21&linkId=7f3d2293aa0a9457ba7c0c3b98d05b0f&language=en_GB&ref_=as_li_ss_tl;;;https://images-eu.ssl-images-amazon.com/images/I/41gvNmVzT-L.__AC_SX300_SY300_QL70_ML2_.jpg;Char-Broil Gas2Coal.;; Char-Broil ;https://images-eu.ssl-images-amazon.com/images/I/41gvNmVzT-L.__AC_SX300_SY300_QL70_ML2_.jpg;Char-Broil Gas2Coal.;;Char-Broil Gas2Coal.: Meisteraffiliateshop Garten;;166;; Char-Broil ;char-broil-gas2coal.;;Char-Broil Gas2Coal.;;2021/06/21 11:54:57;2ef7f4a5-e084-4a9f-b015-398e9708c1b8
B00388B500;; Intex ;;2021/06/21 11:54:57;"About this item         Rectangular Frame Pool     Robust and strong film; high stability.     Quick and easy to assemble.     Galvanised and powder-coated pool construction; highly tear-resistant PVC fabric     Contents: Intex Frame Pool Family without Filter Pump";;https://www.amazon.de/gp/product/B00388B500?ie=UTF8&linkCode=sl1&tag=meister002-21&linkId=3fff490b3f4fc4a62945c7173070c5bc&language=en_GB&ref_=as_li_ss_tl;;;https://images-eu.ssl-images-amazon.com/images/I/51Wo9SDLEZL.__AC_SX300_SY300_QL70_ML2_.jpg;Intex Rectangular Frame Pool, 260 x 160 x 65 cm, blue;; Intex ;https://images-eu.ssl-images-amazon.com/images/I/51Wo9SDLEZL.__AC_SX300_SY300_QL70_ML2_.jpg;Intex Rectangular Frame Pool, 260 x 160 x 65 cm, blue;;Intex Rectangular Frame Pool, 260 x 160 x 65 cm, blue: Meisteraffiliateshop Garten;;22170;168.90; Intex ;intex-rectangular-frame-pool-260-x-160-x-65-cm-blue;;Intex Rectangular Frame Pool, 260 x 160 x 65 cm, blue;;2021/06/21 11:54:57;efa50bb4-670a-4942-9234-6b26766d77b1
B01LY8RWKM;; Samsung ;;2021/06/21 11:54:57;LED drum interior lighting     SmartCheck - problem solving via app     Condensation level indicator on the tank     Filter cleaning alarm     Care drum     Appliance dimensions H x W x D (cm): 85.0 x 59.8 x 63.8                See more product details;;https://www.amazon.de/gp/product/B01LY8RWKM?ie=UTF8&linkCode=sl1&tag=meister002-21&linkId=4b5b7f5d3e5c6ca08439057d4780b768&language=en_GB&ref_=as_li_ss_tl;;;https://images-eu.ssl-images-amazon.com/images/I/81rQ-KOThbL.__AC_SX342_SY445_QL70_ML2_.jpg;Samsung DV80K6010CW heat pump dryer / A ++ / 8 kg / Lightning-fast water tank check / SmartCheck;; Samsung ;https://images-eu.ssl-images-amazon.com/images/I/81rQ-KOThbL.__AC_SX342_SY445_QL70_ML2_.jpg;Samsung DV80K6010CW heat pump dryer / A ++ / 8 kg / Lightning-fast water tank check / SmartCheck;;Samsung DV80K6010CW heat pump dryer / A ++ / 8 kg / Lightning-fast water tank check / SmartCheck: Meisteraffiliateshop Large Appliances;;165;; Samsung ;samsung-dv80k6010cw-heat-pump-dryer-a-++-8-kg-lightning-fast-water-tank-check-smartcheck;;Samsung DV80K6010CW heat pump dryer / A ++ / 8 kg / Lightning-fast water tank check / SmartCheck;;2021/06/21 11:54:57;cbb825aa-d478-49d2-858d-574d81ff48a5
B08HHSW8LT;; Samsung ;;2021/06/21 11:54:57;About this item                           Hygienic steam program: hygienically clean and bacteria-free – perfect for allergy sufferers.     Digital inverter motor.     Drum cleaning - hygienically pure drum without chemicals.     Diamond care drum – especially gentle and gentle     Device dimensions (W x H x D): 600 x 850 x 550 mm.                See more product details;;https://www.amazon.de/dp/B08HHSW8LT?psc=1&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUFQUzg3NjhRTERGRjQmZW5jcnlwdGVkSWQ9QTEwMDgyNTUxQ0oyVk1WUkdMM0xKJmVuY3J5cHRlZEFkSWQ9QTAxNzgwNjcxNFhKUVFCM1laTjhTJndpZGdldE5hbWU9c3BfaHFwX3NoYXJlZCZhY3Rpb249Y2xpY2tSZWRpcmVjdCZkb05vdExvZ0NsaWNrPXRydWU%3D&linkCode=sl1&tag=meister002-21&linkId=af019b522a7e0e04412c331f18169955&language=en_GB&ref_=as_li_ss_tl;;;https://images-eu.ssl-images-amazon.com/images/I/71b44H4sgLL.__AC_SX342_SY445_QL70_ML2_.jpg;Samsung washing machine;; Samsung ;https://images-eu.ssl-images-amazon.com/images/I/71b44H4sgLL.__AC_SX342_SY445_QL70_ML2_.jpg;Samsung washing machine;;Samsung washing machine: Meisteraffiliateshop Large Appliances;;1429;389.00; Samsung ;samsung-washing-machine;;Samsung washing machine;;2021/06/21 11:54:57;3e959815-0ccf-4c99-971c-be29c692650c
B07V9LD1HZ;; iRobot ;;2021/06/21 11:54:57;About this item         iRobot has more than 30 years of experience in robot technologies and has sold more than 30 million home robots worldwide. When you choose Roomba, your floors will get the special care they need     Vacuuming will take care of itself for many months. With the Clean Base automatic suction station, the i7+ can empty its dust container into a hypo-allergenic bag for up to 60 days without you needing to do a thing     Cleans whenever, wherever and however you want - Thanks to Imprint Intelligent mapping, you can instruct the i7+ exactly where and when to clean. With custom-defined protected areas, you can determine zones the robot should keep away from     Removes dirt in no time at all - thanks to mapping and intelligent navigation, you can send commands to the i7+ via your voice assistant* to make it move directly to the dirty area at the exact time the dirt occurs. *Compatible with Alexa-enabled devices and Google Assistant. Alexa and all associated logos are trademarks of their respective owners. Google is a brand of Google LLC     Dirt doesn’t stand a chance: with a 3-level cleaning system, two rubber brushes for all floor types as well as an edge brush and extra strong suction power with 10 times more suction power*, stubborn dirt is picked up with ease. *Compared to the Roomba 600 series cleaning system     Adapts to your schedule: It listens to your voice - learns your cleaning habits and can suggest personalised schedules. Thanks to the compatibility with Google Assistant and Alexa, cleaning tasks can be easily started via voice command. *Alexa and all related logos are trademarks of Amazon.com or its subsidiaries. Google is a brand of Google LLC     Smart programming, a good sense of direction: With vSLAM navigation, the i7+ learns the layout of your home and creates personal smart maps that allow it to expertly clean and manoeuvre in clean, straight tracks     Armonia Deutschland GmbH;;https://www.amazon.de/gp/product/B07V9LD1HZ?ie=UTF8&linkCode=sl1&tag=meister002-21&linkId=e7162e16eaf19d6ac26f24f8e382c62b&language=en_GB&ref_=as_li_ss_tl;;;https://images-eu.ssl-images-amazon.com/images/I/61uc4A3dr1S.__AC_SX300_SY300_QL70_ML2_.jpg;iRobot Roomba i7+ (i7556) Robot Vacuum Cleaner, Automatic Suction Station, Intelligent Room Recording, Schedule Cleaning, 2 Multi Bottom Brushes, WLAN Vacuum Cleaner, Robot, App Control, Ideal for Pet Hair;; iRobot ;https://images-eu.ssl-images-amazon.com/images/I/61uc4A3dr1S.__AC_SX300_SY300_QL70_ML2_.jpg;iRobot Roomba i7+ (i7556) Robot Vacuum Cleaner, Automatic Suction Station, Intelligent Room Recording, Schedule Cleaning, 2 Multi Bottom Brushes, WLAN Vacuum Cleaner, Robot, App Control, Ideal for Pet Hair;;iRobot Roomba i7+ (i7556) Robot Vacuum Cleaner, Automatic Suction Station, Intelligent Room Recording, Schedule Cleaning, 2 Multi Bottom Brushes, WLAN Vacuum Cleaner, Robot, App Control, Ideal for Pet Hair: Meisteraffiliateshop Küche & Haushalt;;1477;; iRobot ;irobot-roomba-i7+-i7556-robot-vacuum-cleaner-automatic-suction-station-intelligent-room-recording-schedule-cleaning-2-multi-bottom-brushes-wlan-vacuum-cleaner-robot-app-control-ideal-for-pet-hair;;iRobot Roomba i7+ (i7556) Robot Vacuum Cleaner, Automatic Suction Station, Intelligent Room Recording, Schedule Cleaning, 2 Multi Bottom Brushes, WLAN Vacuum Cleaner, Robot, App Control, Ideal for Pet Hair;;2021/06/21 11:54:57;20829bf4-c9a3-41bd-ab0e-0caba3c7dd88
B07TPRCS4G;; Bestway;;2021/06/21 11:54:57;Info zu diesem Artikel         Größe aufgeblasen: 153 x 74 x 28 cm - Maximale Belastbarkeit: 90 kg - Maximale Personenanzahl: ein Erwachsener     Mesh-Liegefläche mit Hängematteneffekt - Aufblasbare Kopfstütze     Ideal für Strand, See oder Pool - Meer erleben mit Bestway - Ob Urlaub im Süden, an Nord- oder Ostsee - Ideal auf Reisen - Leicht verstaubar     Großartig für Erwachsene und Kinder. Spaß pur - ob Strand- oder Poolparty     Lieferumfang – eine Hängematratze / zwei-fach sortiert - eine Auswahl ist leider nicht möglich                Weitere Produktdetails;;https://www.amazon.de/gp/product/B07TPRCS4G?ie=UTF8&linkCode=sl1&tag=meister002-21&linkId=61cb6048c7334e5a5b9efeb8b5df014d&language=de_DE&ref_=as_li_ss_tl;;;https://images-eu.ssl-images-amazon.com/images/I/81FzhydrJYL.__AC_SX300_SY300_QL70_ML2_.jpg;"Bestway 43103 Luftmatratze H&auml;ngematte, 160 x 84 cm, Sortiert";; Bestway;https://images-eu.ssl-images-amazon.com/images/I/81FzhydrJYL.__AC_SX300_SY300_QL70_ML2_.jpg;"Bestway 43103 Luftmatratze H&auml;ngematte, 160 x 84 cm, Sortiert";;Bestway 43103 Luftmatratze Hängematte, 160 x 84 cm, Sortiert bei Meisteraffiliateshop.com| Günstiger Preis | Kostenloser Versand ab 29€ für ausgewählte Artikel;;2302;11.42; Bestway;bestway-43103-luftmatratze-haengematte-160-x-84-cm-sortiert;;Bestway 43103 Luftmatratze Hängematte, 160 x 84 cm, Sortiert;;2021/06/21 11:54:57;3ddff489-60df-439a-b945-4767e6034d9f
B072VBF6M4;; Oral-B ;;2021/06/21 11:54:57;About this item         PROTECTS YOUR Gums: The visual pressure control lights up and reduces speed when you exert too much pressure.     The unique round brush head removes up to 100% more plaque than a standard manual toothbrush     2 cleaning modes: daily cleaning and sensitive.     More than 2 weeks of battery life on a single full charge     Always maintain the right cleaning time of 2 minutes with the professional timer.;;https://www.amazon.de/gp/product/B072VBF6M4?ie=UTF8&linkCode=sl1&tag=meister002-21&linkId=67b8ae344d0eaca43ec29709b1d63ef9&language=en_GB&ref_=as_li_ss_tl;;;https://images-eu.ssl-images-amazon.com/images/I/415BvEkRqxL.__AC_SX300_SY300_QL70_ML2_.jpg;Oral-B PRO 2 2900 Electric toothbrush for extra gum protection thanks to visual pressure control, with 2nd handpiece, black;; Oral-B ;https://images-eu.ssl-images-amazon.com/images/I/415BvEkRqxL.__AC_SX300_SY300_QL70_ML2_.jpg;Oral-B PRO 2 2900 Electric toothbrush for extra gum protection thanks to visual pressure control, with 2nd handpiece, black;;Oral-B PRO 2 2900 Electric toothbrush for extra gum protection thanks to visual pressure control, with 2nd handpiece, black: Meisteraffiliateshop Drogerie & Körperpflege;;22198;57.14; Oral-B ;oral-b-pro-2-2900-electric-toothbrush-for-extra-gum-protection-thanks-to-visual-pressure-control-with-2nd-handpiece-black;;Oral-B PRO 2 2900 Electric toothbrush for extra gum protection thanks to visual pressure control, with 2nd handpiece, black;;2021/06/21 11:54:57;790bf8b6-9247-4509-8e8f-6d94b969b502
B00S1Q89SU;; Front Runner ;;2021/06/21 11:54:58;About this item         With 216 mm, the slimmest roof tent on the market (not including Ladder).     Lightweight, at only 43 kg.     Unfolded, it’s a 1.30 m wide and 2.40 m long roof tent, comfortable for two people.     To attach to the front runner Slimline II roof rack, a front runner roof tent mounting kit is required.     Mattress is included in the tent.;;https://www.amazon.de/Front-Runner-Roof-Top-Tent/dp/B00S1Q89SU?&linkCode=sl1&tag=meister002-21&linkId=19de7b98e8fd9cb87c524ff05637804c&language=en_GB&ref_=as_li_ss_tl;;;https://images-eu.ssl-images-amazon.com/images/I/61ZnweL8gHL.__AC_SY300_SX300_QL70_ML2_.jpg;Front Runner Feather-Lite Roof Tent;; Front Runner ;https://images-eu.ssl-images-amazon.com/images/I/61ZnweL8gHL.__AC_SY300_SX300_QL70_ML2_.jpg;Front Runner Feather-Lite Roof Tent;;Front Runner Feather-Lite Roof Tent: Meisteraffiliateshop Sport & Freizeit;;5;; Front Runner ;front-runner-feather-lite-roof-tent;;Front Runner Feather-Lite Roof Tent;;2021/06/21 11:54:58;72c8882f-f26b-4bb8-a880-349099955b74
B092ZLZJVQ;; your GEAR;;2021/06/21 11:54:58;"Großer Campingschrank mit stabilem Aluminium Gestell und robustem Oxford Bezug. Aufgebaut hat der Schrank die Maße 86 x 47 x 105 cm. 6 Fächer und eine Ablageplatte bieten viel Platz zur Lagerung     Schrank Ausstattung: Stabile Ablage und Bodenplatten | 6 Einlegeböden mit Aluminium Rand | seitliche Aufbewahrungstasche | Front mit 2 großen Türen | Rückwand mit Moskitonetz | vormontierte Deckelplatte | schneller Aufbau ohne Werkzeug     Zeltschrank mit hoher Standsicherheit. 4 höhenverstellbare Nivellier-Füße bieten sicheren Stand. Komfort Vorzeltschrank mit flacher Packmaß-Höhe von 13 cm - ideal für Wohnmobil, Bus, Wohnwagen     Kompakter &amp; leichter Reiseschrank | 6 Einlegeböden: 38,5 x 38,5 cm | Gewicht: 8,3 kg | kleines Packmaß: 86x48x13 cm | Belastbarkeit: 50 kg | große Tasche für leichtes Einpacken | vor Nässe schützen     Indoor &amp; Outdoor universell einsetzbar! Ob im Zelt beim Camping, als Campingküche zum Kochen, am Garten Grill oder zu Hause, der mobile Schrank bietet viel Stauraum, Ablage- und Lagermöglichkeiten";;https://www.amazon.de/dp/B092ZLZJVQ?psc=1&pd_rd_i=B092ZLZJVQ&pd_rd_w=1GCz4&pf_rd_p=b9377742-1edc-4d5e-b680-070f2360d891&pd_rd_wg=Y1Hts&pf_rd_r=3V0K4PJ1DTB7D4VGDQAB&pd_rd_r=6b7f5a24-c8ee-46cd-8ef7-dc60304cae3a&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEzVDNYTklFTU9QTjZEJmVuY3J5cHRlZElkPUEwNzYwOTU2MTVXT1A0RzQzWk5IOCZlbmNyeXB0ZWRBZElkPUEwMTU1NjkzMUg0NTlYWlpPNVJDQiZ3aWRnZXROYW1lPXNwX2RldGFpbCZhY3Rpb249Y2xpY2tSZWRpcmVjdCZkb05vdExvZ0NsaWNrPXRydWU%3D&linkCode=sl1&tag=meister002-21&linkId=ef24526a72be16f542739b0262c5fc5f&language=de_DE&ref_=as_li_ss_tl;;;https://images-eu.ssl-images-amazon.com/images/I/511XGVT8N1S.__AC_SX300_SY300_QL70_ML2_.jpg;"your GEAR Campingschrank Ticino 6 F&auml;cher Falt-Schrank Outdoorschrank Camping-K&uuml;che 86x47x105 cm";; your GEAR;https://images-eu.ssl-images-amazon.com/images/I/511XGVT8N1S.__AC_SX300_SY300_QL70_ML2_.jpg;"your GEAR Campingschrank Ticino 6 F&auml;cher Falt-Schrank Outdoorschrank Camping-K&uuml;che 86x47x105 cm";;your GEAR Campingschrank Ticino 6 Fächer Falt-Schrank Outdoorschrank Camping-Küche 86x47x105 cm: Meisteraffiliateshop Sport & Freizeit;;;99.95; your GEAR;your-gear-campingschrank-ticino-6-faecher-falt-schrank-outdoorschrank-camping-kueche-86x47x105-cm;;your GEAR Campingschrank Ticino 6 Fächer Falt-Schrank Outdoorschrank Camping-Küche 86x47x105 cm;;2021/06/21 11:54:58;90cdc65a-29d1-4200-a44b-ba4d32ea364f
